name,diet,period_name,period_year(million_years_ago),continent,lived_in,type,length,named_by,Altura,Peso,_merge
confuciusornis,carnivorous,Early Cretaceous,127-121,Asia,China,small theropod,0.25,Hou Zhou Gu and Zhang (1995),0.7 metros,2 kilos,both
corythosaurus,herbivorous,Late Cretaceous,76-74,América del Norte,USA,euornithopod,10.0,Brown (1914),2 metros,5000 kilos,both
cryolophosaurus,carnivorous,Early Jurassic,170,Antarctica,Antarctica,large theropod,8.0,Hammer and Hickerson (1994),2.5 metros,500 kilos,both
dacentrurus,herbivorous,Late Jurassic,154-150,Europa,United Kingdom,armoured dinosaur,6.0,Lucas (1902),2 metros,5000 kilos,both
daspletosaurus,carnivorous,Late Cretaceous,76-74,América del Norte,Canada,large theropod,9.0,Russell (1970),2.5-3.6 metros,3900 kilos,both
datousaurus,herbivorous,Mid Jurassic,170,Asia,China,sauropod,15.0,Dong and Tang (1984),5 metros,16000 kilos,both
deinocheirus,omnivorous,Late Cretaceous,70-66,Asia,Mongolia,large theropod,10.0,Osmólska and Roniewicz (1970),4.9 metros,6400 kilos,both
deinonychus,carnivorous,Early Cretaceous,120-110,América del Norte,USA,small theropod,3.0,Ostrom (1969),0.87 metros,75 kilos,both
deltadromeus,carnivorous,Late Cretaceous,99-94,Africa,Morocco,large theropod,8.1,Sereno Duthiel Iarochene Larsson Lyon Magwene Sidor Varricchio and Wilson (1996),9 metros,1050 kilos,both
dicraeosaurus,herbivorous,Late Jurassic,150-135,Africa,Tanzania,sauropod,20.0,Janensch (1914),3 metros,14000 kilos,both
dilophosaurus,carnivorous,Early Jurassic,190,América del Norte,USA,large theropod,6.0,wetherilli,3 metros,300 kilos,both
diplodocus,herbivorous,Late Jurassic,155-145,América del Norte,USA,sauropod,26.0,Marsh (1878),6 metros,20000 kilos,both
dromaeosaurus,carnivorous,Late Cretaceous,76-74,América del Norte,USA,small theropod,1.8,Matthew and Brown (1922),0.4 metros,15 kilos,both
dromiceiomimus,omnivorous,Late Cretaceous,74-70,América del Norte,Canada,large theropod,3.5,Parks (1926),1.4 metros,300 kilos,both
dryosaurus,herbivorous,Late Jurassic,155-140,América del Norte,USA,euornithopod,4.0,Marsh (1894),1.7 metros,99 kilos,both
dryptosaurus,carnivorous,Late Cretaceous,84-65,América del Norte,USA,large theropod,6.4,Cope (1866),3 metros,1500 kilos,both
dubreuillosaurus,carnivorous,Late Jurassic,169-164,Europa,France,large theropod,9.0,Allain (2005),,250 kilos,both
edmontonia,herbivorous,Late Cretaceous,76-74,América del Norte,Canada,armoured dinosaur,4.0,Sternberg (1928),3 metros,3200 kilos,both
edmontosaurus,herbivorous,Late Cretaceous,76-65,América del Norte,Canada,euornithopod,13.0,Lambe (1917),3 metros,3500 kilos,both
einiosaurus,herbivorous,Late Cretaceous,74,América del Norte,USA,ceratopsian,6.0,Sampson  (1995),4.5 metros,1300 kilos,both
elaphrosaurus,carnivorous,Late Jurassic,154-151,Africa,Tanzania,large theropod,6.2,Janensch (1920),1.5 metros,300 kilos,both
emausaurus,herbivorous,Mid Jurassic,190-180,Europa,Germany,armoured dinosaur,2.0,Haubold (1991),3.7 metros,14000 kilos,both
eolambia,herbivorous,Late Cretaceous,99-94,América del Norte,USA,euornithopod,6.0,Kirkland (1998),2 metros,1000 kilos,both
eoraptor,carnivorous,Late Triassic,228,America del Sur,Argentina,small theropod,1.0,Sereno Forster Rogers and Monetta (1993),0.3 metros,10 kilos,both
eotyrannus,carnivorous,Early Cretaceous,127-121,Europa,United Kingdom,large theropod,5.0,Hutt Naish Martill Barker and Newberry (2001),4 metros,227 kilos,both
equijubus,herbivorous,Early Cretaceous,127-99,Asia,China,euornithopod,7.0,You Luo Shubin Witmer Tang and Tang (2003),,2500 kilos,both
erketu,herbivorous,Early Cretaceous,,Asia,Mongolia,sauropod,15.0,Ksepka and Norell (2006),,4990 kilos,both
erlikosaurus,omnivorous,Late Cretaceous,99-89,Asia,Mongolia,small theropod,3.4,Perle vide Barsbold and Perle (1980),2.7 metros,160 kilos,both
euhelopus,herbivorous,Late Jurassic,154-142,Asia,China,sauropod,10.0,Wiman (1929),5 metros,3500 kilos,both
euoplocephalus,herbivorous,Late Cretaceous,76-70,América del Norte,USA,armoured dinosaur,7.0,tutus,2 metros,2000 kilos,both
europasaurus,herbivorous,Late Jurassic,154-151,Europa,Germany,sauropod,6.2,Sander Mateus Laven and Knötschke (2006),,500 kilos,both
eustreptospondylus,carnivorous,Mid Jurassic,165,Europa,United Kingdom,large theropod,7.0,Walker (1964),2.5 metros,900 kilos,both
