name,diet,period_name,period_year(million_years_ago),continent,lived_in,type,length,named_by
gasparinisaura,herbivorous,Late Cretaceous,86-71,America del Sur,Argentina,euornithopod,0.8,Coria and Salgado (1996)
gastonia,herbivorous,Early Cretaceous,142-127,América del Norte,USA,armoured dinosaur,4.6,Kirkland (1998)
giganotosaurus,carnivorous,Early Cretaceous,112-90,America del Sur,Argentina,large theropod,12.5,Coria and Salgado (1995)
gilmoreosaurus,herbivorous,Late Cretaceous,76-70,Asia,China,euornithopod,6.0,Brett-Surman (1979)
giraffatitan,herbivorous,Late Jurassic,154-142,Africa,Tanzania,sauropod,23.0,Janensch (1914)
gobisaurus,herbivorous,Early Cretaceous,121-99,Asia,China,armoured dinosaur,5.0,Vickaryous Russell Currie and Zhao (2001)
gorgosaurus,carnivorous,Late Cretaceous,80-73,América del Norte,USA,large theropod,8.6,Lamb (1914)
goyocephale,herbivorous,Late Cretaceous,81-75,Asia,Mongolia,large theropod,2.0,Perle Maryańska and Osmólska (1982)
graciliceratops,herbivorous,Late Cretaceous,99-84,Asia,Mongolia,ceratopsian,2.0,Sereno (2000)
gryposaurus,herbivorous,Late Cretaceous,86-71,América del Norte,USA,euornithopod,10.0,Lambe (1914)
guaibasaurus,herbivorous,Late Triassic,221-210,America del Sur,Brazil,small theropod,1.8,Bonaparte Ferigolo and Ribeiro (1999)
guanlong,carnivorous,Late Jurassic,159-154,Asia,China,small theropod,3.0,Xu Clark Forster Norell Erickson Eberth Jia and Zhao (2006)
hadrosaurus,herbivorous,Late Cretaceous,78-74,América del Norte,USA,euornithopod,9.0,Leidy (1858)
hagryphus,omnivorous,Late Cretaceous,,América del Norte,USA,small theropod,3.0,Zanno and Sampson (2005)
haplocanthosaurus,herbivorous,Late Jurassic,154-142,América del Norte,USA,sauropod,21.5,Hatcher (1903)
harpymimus,omnivorous,Early Cretaceous,121-99,Asia,Mongolia,small theropod,2.0,Barsbold and Perle (1984)
herrerasaurus,carnivorous,Late Triassic,228,America del Sur,Argentina,small theropod,3.0,Reig (1963)
hesperosaurus,herbivorous,Late Jurassic,154-142,América del Norte,USA,armoured dinosaur,6.0,Carpenter Miles and Cloward (2001)
heterodontosaurus,herbivorous,Early Jurassic,205,Africa,South Africa,euornithopod,1.2,Crompton and Charig (1962)
heyuannia,omnivorous,Late Cretaceous,72-68,Asia,Mongolia,small theropod,2.0,Barsbold (1981)
homalocephale,herbivorous,Late Cretaceous,72-68,Asia,Mongolia,euornithopod,1.5,Maryańska and Osmólska (1974)
huayangosaurus,herbivorous,Mid Jurassic,170-160,Asia,China,armoured dinosaur,4.5,Dong Tang and Zhou (1982)
hylaeosaurus,herbivorous,Early Cretaceous,150-135,Europa,United Kingdom,armoured dinosaur,5.0,Mantell (1833)
hypacrosaurus,herbivorous,Late Cretaceous,70,América del Norte,USA,euornithopod,9.0,Brown (1913)
hypsilophodon,herbivorous,Early Cretaceous,125,Europa,United Kingdom,euornithopod,2.3,Huxley (1869)
iguanodon,herbivorous,Early Cretaceous,140-110,Europa,United Kingdom,euornithopod,10.0,Boulenger and van Beneden (1881)
indosuchus,carnivorous,Late Cretaceous,71-65,Asia,India,large theropod,7.0,Huene and Matley (1933)
irritator,carnivorous,Early Cretaceous,112-99,America del Sur,Brazil,large theropod,6.5,Martill Cruickshank Frey Small and Clarke (1996)
isisaurus,herbivorous,Late Cretaceous,71-65,Asia,India,sauropod,18.0,Jain and Bandyopadhyay (1997)
janenschia,herbivorous,Late Jurassic,154-151,Africa,Tanzania,sauropod,20.0,Wild (1991)
jaxartosaurus,herbivorous,Late Cretaceous,94-84,Asia,Kazakhstan,euornithopod,9.0,Riabinin (1939)
jingshanosaurus,herbivorous,Early Jurassic,205-190,Asia,China,sauropod,5.0,Zhang and Yang (1995)
jinzhousaurus,herbivorous,Early Cretaceous,127-121,Asia,China,euornithopod,7.0,Wang and Xu (2001)
jobaria,herbivorous,Early Cretaceous,132-94,Africa,Niger,sauropod,21.0,Sereno Beck Dutheil Larsson Lyon Moussa Sadleir Sidor Varricchio Wilson and Wilson (1999)
juravenator,carnivorous,Late Jurassic,154-151,Europa,Germany,small theropod,0.8,Göhlich &amp; Chiappe (2006)
kentrosaurus,herbivorous,Late Jurassic,155-150,Africa,Tanzania,armoured dinosaur,5.0,Hennig (1915)
